Tipo,Nombre,Anno_estreno,Mes_estreno,Id_peli,Genero
Movie,Yaroslav. Tysyachu let nazad,2010,10,tt1647692,Action
Movie,Bravo Sierra,2010,2,tt1648024,Action
Movie,The Nice Guy,2010,8,tt1647465,Action
Movie,Dead West,2010,10,tt1648062,Action
Movie,New Kids Turbo,2010,12,tt1648112,Action
Movie,Vedam,2010,6,tt1649431,Action
Movie,"Second World: Blood, Fire and Smoke",2010,6,tt1649783,Action
Movie,Dead Genesis,2010,4,tt1650516,Action
Movie,Sura,2010,4,tt1650433,Action
Movie,Prayer to a Vengeful God,2010,10,tt1652333,Action
Movie,Porki,2010,1,tt1651934,Action
Movie,WebSiteStory,2010,5,tt1650461,Action
Movie,Sortie 67,2010,4,tt1651916,Action
Movie,Menculik Miyabi,2010,5,tt1653884,Action
Movie,Ong-bak 3,2010,5,tt1653690,Action
Movie,Close,2010,8,tt1653652,Action
Movie,Chuzhaya,2010,6,tt1653649,Action
Movie,Lou Biou - La fête du taureau fabuleux,2010,4,tt1655414,Action
Movie,Singam,2010,5,tt1655607,Action
Movie,Alexander the Great,2010,5,tt1660303,Action
Movie,Brindaavanam,2010,10,tt1661031,Action
Movie,Yongseoneun eupda,2010,1,tt1662557,Action
Movie,Megaman,2010,5,tt1662534,Action
